track_id,track_name,artist,album,album_image,rank,term,duration_ms,explicit
3wqGL8Mf7Nugx4Zlr2GzBW,Pom Pom,Bruce Melodie,Pom Pom,https://i.scdn.co/image/ab67616d0000b27340122d92b55c6e23e2904598,46,medium_term,257666,False
57ENogEkvFsU7Wmt3lvQMG,Two Six,J. Cole,The Fall-Off,https://i.scdn.co/image/ab67616d0000b27380788f104c780412212e97e3,47,medium_term,196080,True
6BcRcpPqUaoNj3Zsqi23Cx,K.O,Gaz Mawete,Gaz Mawete,https://i.scdn.co/image/ab67616d0000b27307e96751c5d78b6483dd6f30,48,medium_term,182000,False
6bgandzIQ55wqEYRlpSraS,"Banyana (feat. Sir Trill, Daliwonga & Kabza De Small)",DJ Maphorisa,Banyana,https://i.scdn.co/image/ab67616d0000b273d4de03cf3a15f1d0bfcc5a3e,49,medium_term,411428,False
0QWFiyhOqFu9RP8qzP6z5L,I'm Your Angel (with Céline Dion),R. Kelly,R.,https://i.scdn.co/image/ab67616d0000b2731a81e3abee4b067492baaf44,50,medium_term,332066,False
4at3d5QWnlibMVN75ECDrp,Pretty Little Fears (feat. J. Cole),6LACK,East Atlanta Love Letter,https://i.scdn.co/image/ab67616d0000b273e1530b42603367fdb2208d88,1,long_term,240341,True
2svgkUY2l7qh6bdg1fteFY,Open The Eyes of My Heart,Jordan G. Welch,Open The Eyes of My Heart,https://i.scdn.co/image/ab67616d0000b273ed6ee271e4ce12f7c188eaf5,2,long_term,249080,False
4us9pwwMqOKN3lklnPZZAv,I will pray,Ebuka Songs,I will pray,https://i.scdn.co/image/ab67616d0000b27343d21707b64491f9b62ff680,3,long_term,170631,False
1f1aVSNrIlYJireodCP04q,Everlasting King,Loveworld Singers,I Love You Now And Always,https://i.scdn.co/image/ab67616d0000b273619079ab9d757829580cadfe,4,long_term,400357,False
3Rq1cgwfOjGCH8oxb9jiOz,Kwalula,Sun-El Musician,To the World & Beyond,https://i.scdn.co/image/ab67616d0000b2738c8ee53c923729bd8ab8912c,5,long_term,269520,False
6YYnBEMEaj960IX1evcTun,Ogechi,Brown Joel,Ogechi,https://i.scdn.co/image/ab67616d0000b273045c5c99d5f4e5cb47f5a92d,6,long_term,152133,False
4oZcUz0YS5komd8ukoYtyR,Kiki,Leftizzle,Kiki,https://i.scdn.co/image/ab67616d0000b273531f695ddd8e9aa8ad37f66c,7,long_term,202352,False
3QzAOrNlsabgbMwlZt7TAY,Ballin' (with Roddy Ricch),Mustard,Perfect Ten,https://i.scdn.co/image/ab67616d0000b27393b1e96fad758869d0974162,8,long_term,180434,True
0VjzaXw81JQJM61pzWwP8b,Nzaza,Asake,Mr. Money With The Vibe,https://i.scdn.co/image/ab67616d0000b2731ee6732ccb8f07bd15b33beb,9,long_term,183829,False
3gYvVABY8K1Oq51AfrguRV,Great King Of All,Loveworld Singers,You Sit Above The Cherubim,https://i.scdn.co/image/ab67616d0000b273fb006075be16e463c94605bb,10,long_term,253794,False
6kksmL4t09IgxhajuVDDxR,late at night,Roddy Ricch,LIVE LIFE FAST,https://i.scdn.co/image/ab67616d0000b273e80ce1e14e6f60b0e4cd4489,11,long_term,174549,True
1IARNA3zsu39Kul2ov9n3J,King,Fireboy DML,"Laughter, Tears & Goosebumps",https://i.scdn.co/image/ab67616d0000b273b747618b16bff54d5cd70325,12,long_term,165040,False
0JGZYsSnDraphLvnhIUaQx,Scared Love,Rod Wave,Last Lap,https://i.scdn.co/image/ab67616d0000b273287c37c4384f0a2245a69726,13,long_term,185883,True
0rc9XLNs7KZXu2ASA3LbL8,MISTAKE,NF,HOPE,https://i.scdn.co/image/ab67616d0000b273ff8a4276b3be31c839557439,14,long_term,215186,False
0wf9rSX8ds3yEI2gf2QdPs,Dreams,NF,Perception,https://i.scdn.co/image/ab67616d0000b273cd733919ee57d0cc466e152f,15,long_term,221573,False
3PPzT5KBqYu2C5NuBU6CBw,No God Greater Than You,Loveworld Singers,You Sit Above The Cherubim,https://i.scdn.co/image/ab67616d0000b273fb006075be16e463c94605bb,16,long_term,359444,False
5lehoWkVPujeOAwb8BO0uK,Only,NF,The Search,https://i.scdn.co/image/ab67616d0000b273942a0c9ac8f1def7c8805044,17,long_term,225440,False
34VxIDJqDlzyhaRgtueaFo,You Are So Great,Loveworld Singers,Loveworld New Songs 2022,https://i.scdn.co/image/ab67616d0000b2734b487a2c767374f6ff9c737e,18,long_term,432912,False
3QDAZkFUlpV0yMXtwGqZaD,What A Mighty God You Are,Loveworld Singers,Dew Of Heaven,https://i.scdn.co/image/ab67616d0000b273744b82b4831e096ff06ce0bb,19,long_term,390999,False
4RlOIdKBihttz8DQxusXwg,I Exalt You Lord,Loveworld Singers,Sing A New Song,https://i.scdn.co/image/ab67616d0000b273160abc79495e1b1c171674b3,20,long_term,526884,False
3rjLmv6fNacHOVHtWzGVK8,Singing Guitar Vibes,AJ Ghent [ j-ent ],Singing Guitar Vibes,https://i.scdn.co/image/ab67616d0000b273b6c441a8a32fac111ca07b2b,21,long_term,595290,False
1l0wPhFZP1kWkZNQrrYrGy,RUNNING,NF,HOPE,https://i.scdn.co/image/ab67616d0000b273ff8a4276b3be31c839557439,22,long_term,253532,False
4vpx4cL7IRedZul0j0bL2c,let it breathe (feat. Roddy Ricch),Gunna,One of Wun,https://i.scdn.co/image/ab67616d0000b2739a0cbe7c93bc691f48f356ed,23,long_term,200786,True
3BzlZAqfnZDjv1F5CLlpHx,News or Something,Future,Purple Reign,https://i.scdn.co/image/ab67616d0000b2738f4d24124c0d5b6f413d9624,24,long_term,213586,True
3HfKlhohNNTLIv2t9uvmzz,FEAR,NF,FEAR,https://i.scdn.co/image/ab67616d0000b27392640546d2877fe762c0f050,25,long_term,268519,False
5PbkBYnXhmd6gdlIKbUI1T,Baby,The Ben,PLENTY LOVE,https://i.scdn.co/image/ab67616d0000b27308d9297f87d12700498e320a,26,long_term,228705,False
7aDw6ABFrazUlM4PRfUYLI,All That Matters,Minister GUC,The Message,https://i.scdn.co/image/ab67616d0000b27399a6732ed08e7f1eb96a8e55,27,long_term,370131,False
1goiRWxiG3GTlODrdDZ7NR,Jireh (feat. Chandler Moore & Naomi Raine),Elevation Worship,Old Church Basement,https://i.scdn.co/image/ab67616d0000b273a996b44f11f30c8bf37cf53e,28,long_term,598994,False
2c6w3zpkZhYHX26EVPMWFW,Ni Wewe,Mathias Walichupa,Ni Wewe,https://i.scdn.co/image/ab67616d0000b273885ad6575da48916a173b7d6,29,long_term,272275,False
33DZ7zKxxslObJ4GJfyBBX,Siwezi,Marioo,The Kid You Know,https://i.scdn.co/image/ab67616d0000b273ff6829ead30f3d4eb79406ab,30,long_term,219574,False
5QRCwZ2350b9EPGwoQE91V,Isililo,Pistole Gwijo,The Best Of Gwijo 4,https://i.scdn.co/image/ab67616d0000b2735f77d5ed9aa8e052ba9714ee,31,long_term,139040,False
1y3bE5i57eUm3hfLAc7h08,Walking The Wire,Imagine Dragons,Evolve,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a,32,long_term,232906,False
6rOqLUy3kp0PVQQEtNPpbQ,Happiness (feat. Asake & Gunna),Sarz,Happiness (feat. Asake & Gunna),https://i.scdn.co/image/ab67616d0000b273f13c70e6b79f936abf585308,33,long_term,174743,False
4Xg53MegsZ6MRIbZ2kE6Eh,Survivor’s Remorse,Roddy Ricch,Survivor’s Remorse,https://i.scdn.co/image/ab67616d0000b2738b942d84eee643c8a9a9fad2,34,long_term,156645,True
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,Back from the Edge,https://i.scdn.co/image/ab67616d0000b2738d34e1fc21441df43571faaa,35,long_term,211477,False
0IVeT8ezG7WJ8M0c1SlwOh,Deep Waters,S.b.g,Set Apart,https://i.scdn.co/image/ab67616d0000b273c69e6c5c31d8c5e5a545dd25,36,long_term,260294,False
6d9Ckju1ZMJsfgM7nKgOgu,Dearest Shephard,Loveworld Singers,I Love You Now And Always,https://i.scdn.co/image/ab67616d0000b273619079ab9d757829580cadfe,37,long_term,287368,False
7MvDYqO3pRxz4ueKdXv6YY,Lord Eternal,Loveworld Singers,I Love You Now And Always,https://i.scdn.co/image/ab67616d0000b273619079ab9d757829580cadfe,38,long_term,279102,False
6ELkgGxnICLHI2dgqueu9v,Nitaamini by Voice of hope,Emanuel Nicarios,Nitaamini by Voice of hope,https://i.scdn.co/image/ab67616d0000b273e4208c75e8742ccf031593d4,39,long_term,379008,False
6S920U14Kw9v5dedojzQLA,Kama Sio,Kusah,Kama Sio,https://i.scdn.co/image/ab67616d0000b27302b554b4d2da53a58aec13ea,40,long_term,194021,False
6mEBD5cHp2EtpPzkFuxZ9V,NOT THE SAME,Parker Jack,NOT THE SAME,https://i.scdn.co/image/ab67616d0000b273433f80fb02999f1bab1def86,41,long_term,117163,True
